Firm Name,Paid post appeal,Case closed count,Deduction fee,Deduction expense,Billed units fee,Billed expense,Billed fee,Paid fee,Paid expense,Cycle time,L100,L200,L300,L400,L500,Win rate proxy,Cost per case,Fee per unit,Cluster,Cluster_name,state_list,Firm_Profile
"Garcia & Young, LLP",14.83656314,5.323009979,10.03275066,7.995266175,9.434429076,10.03034881,11.97184066,11.79630053,9.889113235,5.761955162,1,0,0,0,1,0.889,6.617964318,12.65,3,Efficient Volume Handlers,"['MI', 'TN', 'MI', 'MA']"," - Moderate severity with ongoing liability and coverage disputes  
 - Common injuries: soft tissue, shoulder/arm, unknown  
 - Best suited for firms with strong negotiation and litigation skills"
"Murphy & Associates, LLP",14.44223144,5.33753808,7.475186164,6.679398161,8.710159557,9.104211784,11.23877055,11.10298385,8.833219251,6.384749688,1,1,0,0,1,0.923,5.871413316,12.54,3,Efficient Volume Handlers,"['MD', 'CT', 'AR', 'NY', 'MI', 'MI']"," - Low severity, moderate exposure with frequent negotiation stalemates.
 - Common injuries: shoulder, neck, back; surgical claims present.
 - Complex claims needing litigation-focused, negotiation-savvy law firms."
"Carter & Murphy, LLP",14.16094212,4.382026635,9.208936387,6.207643905,9.050205657,9.813689205,11.4674916,11.33591689,9.657583178,5.362663766,1,1,1,1,0,0.927,7.138406577,11.22,3,Efficient Volume Handlers,['MA']," - Low severity, single-vehicle, disputed liability claims  
 - Involves surgical intervention for shoulder injury  
 - Requires strategic negotiation and lien resolution expertise"
"Mitchell & Collins, LLP",12.87503689,3.63758616,8.197315697,6.095081043,7.855416763,8.777191582,10.40202154,10.18394031,8.585025657,6.903355615,0,1,1,1,0,0.804,6.758199029,12.77,2,Outcome Specialists,,#N/A
"Mitchell & Edwards, LLP",12.77509548,5.327876169,8.674034534,8.083146493,8.618290231,10.11946187,10.93328481,10.53133806,9.78104813,5.555390493,1,1,1,0,0,0.719,5.598792261,10.13,3,Efficient Volume Handlers,"['CT', 'ME']"," - High complexity with coverage and liability disputes
 - Frequent attorney involvement and chronic pain claims
 - Best suited for firms specializing in complex litigation"
"Roberts, Thompson & Partners",12.03143029,4.49980967,7.641473223,7.899791499,8.571219149,9.798769608,10.90329538,10.62655852,9.466444312,5.481943962,1,1,0,1,1,0.808,6.41217945,10.3,3,Efficient Volume Handlers,"['MI', 'CT', 'NY']"," - Moderate severity with frequent disputes over coverage limits  
 - Soft tissue neck injuries common; ongoing medical treatment  
 - Complex claims; suited for firms skilled in coverage disputes"
"Foster & Brown, LLP",12.14789109,4.143134726,6.856335661,7.630723363,7.015918862,10.41267494,9.48698905,9.345898709,10.33635866,8.128257713,1,1,1,1,0,0.868,6.526480218,11.84,0,High-Value Core Firms,,#N/A
"Henderson, Mitchell & Campbell, P.C.",14.05556813,5.049856007,9.048149624,5.12663897,8.865726683,9.446067615,11.2333966,10.82990801,9.305994129,5.206813436,0,0,1,0,1,0.718,5.986049914,10.67,3,Efficient Volume Handlers,"['CT', 'GA', 'NY', 'MI']"," - High claim complexity with extensive documentation and disputes  
 - Common injuries: neck, back pain; soft tissue injuries  
 - Best suited for firms experienced in fraud and complex negotiations"
Jackson Parker Law Group,13.08304206,5.141663557,7.170511774,7.276998905,7.323955888,9.302140763,9.644941539,9.216806422,9.126595654,7.380018853,0,0,1,1,1,0.652,4.738739078,10.19,0,High-Value Core Firms,['MA']," - Single vehicle, neck injuries, Massachusetts jurisdiction  
 - Pre-existing conditions complicate medical treatment assessment  
 - Arbitration requested, active negotiation with claimant representative"
Walker Hughes Law Group,13.52006905,3.663561646,7.985899519,6.48419239,7.843864324,9.79786478,10.14217448,9.792325239,9.62249969,7.400021742,0,0,1,1,0,0.705,6.767665283,9.96,1,High-Cost/ Underperformers,,#N/A
"Baker & Mitchell, LLP",12.77194827,4.990432587,7.851447147,7.886288147,7.420093758,9.871809561,10.04642878,9.854803483,9.549297376,7.915092569,0,1,1,1,0,0.826,5.427545765,13.83,0,High-Value Core Firms,['CT']," - Low severity with single vehicle involvement  
 - Shoulder injury requiring surgery; medical disputes present  
 - Arbitration likely; requires litigation-experienced law firm"
"Baker, Jackson & Williams, P.C.",12.83600877,5.370638028,8.640450991,6.838865974,8.62307637,9.441948002,10.88840357,10.73407551,9.227823645,6.41626779,1,1,0,1,1,0.907,5.572154032,9.64,3,Efficient Volume Handlers,"['IL', 'IN', 'ME']"," - Low severity, single-vehicle, soft tissue neck injuries
 - Frequent attorney involvement, extended litigation process
 - Best suited for firms skilled in complex negotiations"
